vazao,data_day
0.4285714286,06/10/17
0.5000000000,06/10/17
0.5714285714,06/10/17
0.5000000000,06/10/17
1.0000000000,06/10/17
0.5000000000,06/10/17
0.5714285714,06/10/17
0.5000000000,06/10/17
0.5714285714,06/10/17
0.7142857143,06/10/17
0.5000000000,06/10/17
0.5000000000,06/10/17
0.5714285714,06/10/17
0.5000000000,06/10/17
0.5000000000,06/10/17
0.5909090909,06/10/17
0.5000000000,06/10/17
0.8571428571,06/10/17
0.3750000000,06/10/17
0.7142857143,06/10/17
0.7500000000,06/10/17
1.0666666667,06/10/17
1.2857142857,06/10/17
0.8571428571,06/10/17
0.8750000000,06/10/17
1.1428571429,06/10/17
1.0000000000,06/10/17
1.1428571429,06/10/17
1.0666666667,06/10/17
1.2500000000,06/10/17
2.0000000000,06/10/17
2.0000000000,06/10/17
2.4285714286,06/10/17
2.6250000000,06/10/17
3.2500000000,06/10/17
4.4285714286,06/10/17
5.5714285714,06/10/17
5.3750000000,06/10/17
7.1428571429,06/10/17
7.2500000000,06/10/17
9.7142857143,06/10/17
9.6250000000,06/10/17
11.2500000000,06/10/17
15.4285714286,06/10/17
14.3750000000,06/10/17
17.8571428571,06/10/17
19.2272727273,06/10/17
18.5000000000,06/10/17
16.8750000000,06/10/17
15.8571428571,06/10/17
5.6956521739,06/10/17
0.1428571429,06/10/17
0.0000000000,06/10/17
0.1428571429,06/10/17
0.1250000000,06/10/17
0.1250000000,06/10/17
0.2857142857,06/10/17
0.1250000000,06/10/17
0.2857142857,06/10/17
0.2857142857,06/10/17
0.2500000000,06/10/17
0.2857142857,06/10/17
0.4000000000,06/10/17
0.3333333333,06/10/17
0.2500000000,06/10/17
0.8571428571,06/10/17
0.4782608696,06/10/17
0.7142857143,06/10/17
0.6250000000,06/10/17
0.8571428571,06/10/17
0.7142857143,06/10/17
2.8787878788,06/10/17
0.5714285714,06/10/17
0.3750000000,06/10/17
0.5714285714,06/10/17
0.5000000000,06/10/17
0.4285714286,06/10/17
0.5000000000,06/10/17
0.4285714286,06/10/17
0.5714285714,06/10/17
0.3750000000,05/10/17
0.7142857143,05/10/17
0.3750000000,05/10/17
1.0000000000,05/10/17
0.6250000000,05/10/17
0.7142857143,05/10/17
0.7142857100,05/10/17
0.8750000000,05/10/17
1.0000000000,05/10/17
0.8571428571,05/10/17
0.8125000000,05/10/17
0.8571428571,05/10/17
1.0666666667,05/10/17
1.0000000000,05/10/17
1.0000000000,05/10/17
1.1250000000,05/10/17
1.1428571429,05/10/17
1.0000000000,05/10/17
1.7142857143,05/10/17
1.2500000000,05/10/17
1.7142857143,05/10/17
1.6250000000,05/10/17
2.0000000000,05/10/17
2.1428571429,05/10/17
2.3750000000,05/10/17
2.7142857143,05/10/17
3.3750000000,05/10/17
4.4285714286,05/10/17
5.0666666667,05/10/17
5.6250000000,05/10/17
7.8571428571,05/10/17
10.8666666667,05/10/17
15.1333333333,05/10/17
16.1250000000,05/10/17
19.4285714286,05/10/17
19.0000000000,05/10/17
20.5714285714,05/10/17
20.8000000000,05/10/17
17.6250000000,05/10/17
15.8571428571,05/10/17
4.3750000000,05/10/17
1.0000000000,05/10/17
1.0000000000,05/10/17
